year,actor,actorid,actor_type,conflictid,type,incomp,region,location,gwnoloc,gwnoloc2,gwnoloc3,gwnoloc4,conflictyear,interm,postc,pgm_id,state_prev,ai_prev,hrw_prev,selection,selection_ethnicity,selection_nationality,selection_religion,selection_age,selection_actor,selection_other,male,child,detainee,refugee,timing,timing_month,timing_military,timing_political,timing_errands,timing_search,location_text,location_camp,location_checkpoints,location_detention,location_private,location_school,public_public,public_semipublic,public_private,witness_family,witness_victims,witness_soldiers,witness_other,gang,byproxy,form,
1989,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,1,0,1,-99,-99,-99,-99,NPA,-99,1,0,1,0,“in April”; “July”,4; 7,0,0,0,0,"“in Pasay City”; “near a river in barangay Flormina, Mondragon”; “Northern Samar”",0,0,0,1,0,0,1,0,0,1,0,-99,1,0,sexual torture; rape; sexual mutilation,
1990,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,1,0,1,-99,-99,-99,-99,NPA,-99,0,0,1,0,December,12,0,0,0,0,“176th PC Company headquarters in Morong”,1,0,1,0,0,0,0,0,0,0,0,-99,0,0,sexual torture; rape,
1991,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1992,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1993,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1994,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1995,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1996,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,0,1,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1997,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1998,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,0,1,0,-99,1,0,-99,1,-99,-99,-99,-99,NPA,-99,0,1,0,0,“June 9”,6,0,0,0,0,"“in a rural area in Dingalan, Aurora province”",0,0,0,0,0,0,0,0,0,1,0,-99,1,0,rape,
1999,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2000,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2001,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2002,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2003,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2004,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2005,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,1,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,“March”; “during interrogation”,3,0,0,0,0,“was held incommunicado for eight days”; “military camps”,1,0,1,0,0,0,0,0,0,0,0,-99,0,0,sexual torture,
2006,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2007,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2008,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2009,Philippines,840,1,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1989,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1990,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1991,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1992,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1993,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1994,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1995,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1996,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,0,1,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1997,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1998,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,0,1,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1999,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2000,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2001,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2002,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2003,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2004,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2005,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2006,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2007,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2008,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2009,CPP,1010,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1989,"Military Faction (forces of Honasan, Abenina & Zumel)",1011,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1990,"Military Faction (forces of Honasan, Abenina & Zumel)",1011,3,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1991,"Military Faction (forces of Honasan, Abenina & Zumel)",1011,3,10,3,2,Asia,Philippines,840,0,0,0,0,0,1,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1992,"Military Faction (forces of Honasan, Abenina & Zumel)",1011,3,10,3,2,Asia,Philippines,840,0,0,0,0,0,1,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1993,"Military Faction (forces of Honasan, Abenina & Zumel)",1011,3,10,3,2,Asia,Philippines,840,0,0,0,0,0,1,-99,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1994,"Military Faction (forces of Honasan, Abenina & Zumel)",1011,3,10,3,2,Asia,Philippines,840,0,0,0,0,0,1,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1995,"Military Faction (forces of Honasan, Abenina & Zumel)",1011,3,10,3,2,Asia,Philippines,840,0,0,0,0,0,1,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1989,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1990,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1991,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1992,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1993,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1994,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1995,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1996,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,0,1,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1997,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1998,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,0,1,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1999,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2000,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2001,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2002,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2003,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2004,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2005,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2006,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2007,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2008,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
2009,Alsa Masa/225 anti-Communist vigilante groups,3000,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,149,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1989,Citizens Against Communism Army,3043,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,172,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1990,Citizens Against Communism Army,3043,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,172,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
1991,Citizens Against Communism Army,3043,6,10,3,2,Asia,Philippines,840,0,0,0,1,0,0,172,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,
